"variable_uri","so_uri","date","value","so_name","rdf_type","experiment_uri","variable_name"
"sixtine:set/variables#variable.abondance-araignees","sixtine:set/experiments#resintbio/so-Placette/B_Fer-RIB-INT-3-PL2","2019-07-10",17,"B_Fer-RIB-INT-3-PL2","vocabulary:SubPlot","sixtine:set/experiments#resintbio","Abondance araignées"
"sixtine:set/variables#variable.abondance-araignees","sixtine:set/experiments#resintbio/so-Placette/B_Fer-RIB-RES-2-PL2","2019-06-17",0,"B_Fer-RIB-RES-2-PL2","vocabulary:SubPlot","sixtine:set/experiments#resintbio","Abondance araignées"
"sixtine:set/variables#variable.abondance-araignees","sixtine:set/experiments#resintbio/so-Placette/B_Fer-RIB-RES-1-PL3","2019-06-17",2,"B_Fer-RIB-RES-1-PL3","vocabulary:SubPlot","sixtine:set/experiments#resintbio","Abondance araignées"
"sixtine:set/variables#variable.abondance-araignees","sixtine:set/experiments#resintbio/so-Placette/B_Fer-RIB-INT-2-PL3","2019-09-24",7,"B_Fer-RIB-INT-2-PL3","vocabulary:SubPlot","sixtine:set/experiments#resintbio","Abondance araignées"
"sixtine:set/variables#variable.abondance-araignees","sixtine:set/experiments#resintbio/so-Placette/B_Fer-RIB-RES-2-PL2","2019-09-24",5,"B_Fer-RIB-RES-2-PL2","vocabulary:SubPlot","sixtine:set/experiments#resintbio","Abondance araignées"
"sixtine:set/variables#variable.abondance-araignees","sixtine:set/experiments#resintbio/so-Placette/B_Fer-RIB-RES-2-PL2","2019-07-17",15,"B_Fer-RIB-RES-2-PL2","vocabulary:SubPlot","sixtine:set/experiments#resintbio","Abondance araignées"
"sixtine:set/variables#variable.abondance-araignees","sixtine:set/experiments#resintbio/so-Placette/B_Fer-RIB-RES-2-PL2","2019-06-19",13,"B_Fer-RIB-RES-2-PL2","vocabulary:SubPlot","sixtine:set/experiments#resintbio","Abondance araignées"
"sixtine:set/variables#variable.abondance-araignees","sixtine:set/experiments#resintbio/so-Placette/B_Fer-RIB-INT-3-PL2","2019-06-19",10,"B_Fer-RIB-INT-3-PL2","vocabulary:SubPlot","sixtine:set/experiments#resintbio","Abondance araignées"
"sixtine:set/variables#variable.abondance-araignees","sixtine:set/experiments#resintbio/so-Placette/B_Fer-RIB-INT-3-PL2","2019-06-17",1,"B_Fer-RIB-INT-3-PL2","vocabulary:SubPlot","sixtine:set/experiments#resintbio","Abondance araignées"
"sixtine:set/variables#variable.abondance-araignees","sixtine:set/experiments#resintbio/so-Placette/B_Fer-RIB-RES-2-PL2","2019-07-10",18,"B_Fer-RIB-RES-2-PL2","vocabulary:SubPlot","sixtine:set/experiments#resintbio","Abondance araignées"
"sixtine:set/variables#variable.abondance-araignees","sixtine:set/experiments#resintbio/so-Placette/B_Fer-RIB-RES-1-PL3","2019-07-17",20,"B_Fer-RIB-RES-1-PL3","vocabulary:SubPlot","sixtine:set/experiments#resintbio","Abondance araignées"
"sixtine:set/variables#variable.abondance-araignees","sixtine:set/experiments#resintbio/so-Placette/B_Fer-RIB-INT-2-PL1","2019-08-27",2,"B_Fer-RIB-INT-2-PL1","vocabulary:SubPlot","sixtine:set/experiments#resintbio","Abondance araignées"
"sixtine:set/variables#variable.abondance-araignees","sixtine:set/experiments#resintbio/so-Placette/B_Fer-RIB-RES-2-PL3","2019-09-24",7,"B_Fer-RIB-RES-2-PL3","vocabulary:SubPlot","sixtine:set/experiments#resintbio","Abondance araignées"
"sixtine:set/variables#variable.abondance-araignees","sixtine:set/experiments#resintbio/so-Placette/B_Fer-RIB-INT-1-PL3","2019-08-27",3,"B_Fer-RIB-INT-1-PL3","vocabulary:SubPlot","sixtine:set/experiments#resintbio","Abondance araignées"
"sixtine:set/variables#variable.abondance-araignees","sixtine:set/experiments#resintbio/so-Placette/B_Fer-RIB-INT-2-PL4","2019-08-27",3,"B_Fer-RIB-INT-2-PL4","vocabulary:SubPlot","sixtine:set/experiments#resintbio","Abondance araignées"
"sixtine:set/variables#variable.abondance-araignees","sixtine:set/experiments#resintbio/so-Placette/B_Fer-RIB-RES-2-PL3","2019-06-19",11,"B_Fer-RIB-RES-2-PL3","vocabulary:SubPlot","sixtine:set/experiments#resintbio","Abondance araignées"
"sixtine:set/variables#variable.abondance-araignees","sixtine:set/experiments#resintbio/so-Placette/B_Fer-RIB-INT-2-PL5","2019-07-17",5,"B_Fer-RIB-INT-2-PL5","vocabulary:SubPlot","sixtine:set/experiments#resintbio","Abondance araignées"
"sixtine:set/variables#variable.abondance-araignees","sixtine:set/experiments#resintbio/so-Placette/B_Fer-RIB-RES-2-PL3","2019-06-17",0,"B_Fer-RIB-RES-2-PL3","vocabulary:SubPlot","sixtine:set/experiments#resintbio","Abondance araignées"
"sixtine:set/variables#variable.abondance-araignees","sixtine:set/experiments#resintbio/so-Placette/B_Fer-RIB-INT-1-PL3","2019-07-17",9,"B_Fer-RIB-INT-1-PL3","vocabulary:SubPlot","sixtine:set/experiments#resintbio","Abondance araignées"
"sixtine:set/variables#variable.abondance-araignees","sixtine:set/experiments#resintbio/so-Placette/B_Fer-RIB-INT-2-PL5","2019-09-24",4,"B_Fer-RIB-INT-2-PL5","vocabulary:SubPlot","sixtine:set/experiments#resintbio","Abondance araignées"
"sixtine:set/variables#variable.abondance-araignees","sixtine:set/experiments#resintbio/so-Placette/B_Fer-RIB-INT-3-PL3","2019-08-27",16,"B_Fer-RIB-INT-3-PL3","vocabulary:SubPlot","sixtine:set/experiments#resintbio","Abondance araignées"
"sixtine:set/variables#variable.abondance-araignees","sixtine:set/experiments#resintbio/so-Placette/B_Fer-RIB-INT-1-PL3","2019-07-10",5,"B_Fer-RIB-INT-1-PL3","vocabulary:SubPlot","sixtine:set/experiments#resintbio","Abondance araignées"
"sixtine:set/variables#variable.abondance-araignees","sixtine:set/experiments#resintbio/so-Placette/B_Fer-RIB-RES-1-PL5","2019-06-19",6,"B_Fer-RIB-RES-1-PL5","vocabulary:SubPlot","sixtine:set/experiments#resintbio","Abondance araignées"
"sixtine:set/variables#variable.abondance-araignees","sixtine:set/experiments#resintbio/so-Placette/B_Fer-RIB-INT-1-PL3","2019-09-24",3,"B_Fer-RIB-INT-1-PL3","vocabulary:SubPlot","sixtine:set/experiments#resintbio","Abondance araignées"
"sixtine:set/variables#variable.abondance-araignees","sixtine:set/experiments#resintbio/so-Placette/B_Fer-RIB-RES-1-PL5","2019-06-17",0,"B_Fer-RIB-RES-1-PL5","vocabulary:SubPlot","sixtine:set/experiments#resintbio","Abondance araignées"
"sixtine:set/variables#variable.abondance-araignees","sixtine:set/experiments#resintbio/so-Placette/B_Fer-RIB-INT-3-PL4","2019-06-17",1,"B_Fer-RIB-INT-3-PL4","vocabulary:SubPlot","sixtine:set/experiments#resintbio","Abondance araignées"
"sixtine:set/variables#variable.abondance-araignees","sixtine:set/experiments#resintbio/so-Placette/B_Fer-RIB-RES-2-PL4","2019-07-10",17,"B_Fer-RIB-RES-2-PL4","vocabulary:SubPlot","sixtine:set/experiments#resintbio","Abondance araignées"
