"uri.URI","type.Type","name.Nom","geometry.geometry","rdfs.comment.Description","vocabulary.hasCreationDate.Date.de.création","vocabulary.hasDestructionDate.Date.de.destruction","vocabulary.hasFactorLevel.Modalité.de.facteur","vocabulary.hasGermplasm.Matériel.génétique","vocabulary.isHosted.Est.accueillie","vocabulary.isPartOf.Est.une.partie.de","NA.NA","NA.NA.1","NA.NA.2"
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/121","vocabulary:SubPlot",121,"LINESTRING (0.4164489 44.3313824, 0.4165348 44.3314356)","Variété : 2733
Porte-Greffe : jaspi
Fertilisation : minerale
Irrigation : ent
Enherbement : des
Ferti_irrigation : non
Répétition : 3
Arbre : 4-1 Variété : 2733
Porte-Greffe : jaspi
Fertilisation : minerale
Irrigation : ent
Enherbement : des
Ferti_irrigation : non
Répétition : 3
Arbre : 4-1",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.desherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.irrigue-microjet","http://sixtine.mistea.inrae.fr/set/germplasms#scionlot.prune-dente-707 http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.jaspi",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/122","vocabulary:SubPlot",122,"LINESTRING (0.4165635 44.3314533, 0.4166494 44.3315066)","Variété : 2733
Porte-Greffe : jaspi
Fertilisation : minerale
Irrigation : ent
Enherbement : des
Ferti_irrigation : non
Répétition : 3
Arbre : 8-5 Variété : 2733
Porte-Greffe : jaspi
Fertilisation : minerale
Irrigation : ent
Enherbement : des
Ferti_irrigation : non
Répétition : 3
Arbre : 8-5",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.desherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.irrigue-microjet","http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.jaspi http://sixtine.mistea.inrae.fr/set/germplasms#scionlot.prune-dente-707",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/123","vocabulary:SubPlot",123,"LINESTRING (0.4166781 44.3315243, 0.416764 44.3315775)","Variété : 2733
Porte-Greffe : myro
Fertilisation : minerale
Irrigation : ent
Enherbement : des
Ferti_irrigation : non
Répétition : 3
Arbre : 12-9 Variété : 2733
Porte-Greffe : myro
Fertilisation : minerale
Irrigation : ent
Enherbement : des
Ferti_irrigation : non
Répétition : 3
Arbre : 12-9",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.desherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.irrigue-microjet","http://sixtine.mistea.inrae.fr/set/germplasms#scionlot.prune-dente-707 http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.myrobolan",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/124","vocabulary:SubPlot",124,"LINESTRING (0.4167926 44.3315952, 0.4168786 44.3316484)","Variété : Spu
Porte-Greffe : jaspi
Fertilisation : minerale
Irrigation : ent
Enherbement : des
Ferti_irrigation : non
Répétition : 3
Arbre : 16-13 Variété : Spu
Porte-Greffe : jaspi
Fertilisation : minerale
Irrigation : ent
Enherbement : des
Ferti_irrigation : non
Répétition : 3
Arbre : 16-13",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.enherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.sec","http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.jaspi http://sixtine.mistea.inrae.fr/set/germplasms#variety.ferco",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/125","vocabulary:SubPlot",125,"LINESTRING (0.4169072 44.3316662, 0.4169931 44.3317194)","Variété : Spu
Porte-Greffe : Ish
Fertilisation : minerale
Irrigation : ent
Enherbement : des
Ferti_irrigation : non
Répétition : 3
Arbre : 20-17 Variété : Spu
Porte-Greffe : Ish
Fertilisation : minerale
Irrigation : ent
Enherbement : des
Ferti_irrigation : non
Répétition : 3
Arbre : 20-17",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.desherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.sec","http://sixtine.mistea.inrae.fr/set/germplasms#variety.ferco http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.ishtara",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/126","vocabulary:SubPlot",126,"LINESTRING (0.4170218 44.3317371, 0.4171077 44.3317903)","Variété : Spu
Porte-Greffe : myro
Fertilisation : minerale
Irrigation : ent
Enherbement : des
Ferti_irrigation : non
Répétition : 3
Arbre : 24-21 Variété : Spu
Porte-Greffe : myro
Fertilisation : minerale
Irrigation : ent
Enherbement : des
Ferti_irrigation : non
Répétition : 3
Arbre : 24-21",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.desherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.sec","http://sixtine.mistea.inrae.fr/set/germplasms#variety.ferco http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.myrobolan",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/127","vocabulary:SubPlot",127,"LINESTRING (0.416498 44.3313416, 0.416584 44.3313948)","Variété : 2733
Porte-Greffe : myro
Fertilisation : minerale
Irrigation : ent
Enherbement : enh
Ferti_irrigation : non
Répétition : 3
Arbre : 4-1 Variété : 2733
Porte-Greffe : myro
Fertilisation : minerale
Irrigation : ent
Enherbement : enh
Ferti_irrigation : non
Répétition : 3
Arbre : 4-1",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.desherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.irrigue-microjet","http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.myrobolan http://sixtine.mistea.inrae.fr/set/germplasms#scionlot.prune-dente-707",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/128","vocabulary:SubPlot",128,"LINESTRING (0.4166126 44.3314125, 0.4166985 44.3314657)","Variété : 2733
Porte-Greffe : jaspi
Fertilisation : minerale
Irrigation : ent
Enherbement : enh
Ferti_irrigation : non
Répétition : 3
Arbre : 8-5 Variété : 2733
Porte-Greffe : jaspi
Fertilisation : minerale
Irrigation : ent
Enherbement : enh
Ferti_irrigation : non
Répétition : 3
Arbre : 8-5",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.desherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.sec","http://sixtine.mistea.inrae.fr/set/germplasms#scionlot.prune-dente-707 http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.jaspi",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/129","vocabulary:SubPlot",129,"LINESTRING (0.4167272 44.3314835, 0.4168131 44.3315367)","Variété : 2733
Porte-Greffe : jaspi
Fertilisation : minerale
Irrigation : ent
Enherbement : enh
Ferti_irrigation : non
Répétition : 3
Arbre : 12-9 Variété : 2733
Porte-Greffe : jaspi
Fertilisation : minerale
Irrigation : ent
Enherbement : enh
Ferti_irrigation : non
Répétition : 3
Arbre : 12-9",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.desherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.irrigue-microjet","http://sixtine.mistea.inrae.fr/set/germplasms#scionlot.prune-dente-707 http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.jaspi",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/13","vocabulary:SubPlot",13,"LINESTRING (0.4155644 44.3321171, 0.4156503 44.3321703)","Variété : Spu
Porte-Greffe : myro
Fertilisation : minerale
Irrigation : mic
Enherbement : des
Ferti_irrigation : non
Répétition : 1
Arbre : 4-1 Variété : Spu
Porte-Greffe : myro
Fertilisation : minerale
Irrigation : mic
Enherbement : des
Ferti_irrigation : non
Répétition : 1
Arbre : 4-1",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.desherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.sec","http://sixtine.mistea.inrae.fr/set/germplasms#variety.ferco http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.myrobolan",NA,NA,NA,NA,NA
